"Cluster	Record	Isolate.ID	Id.Match	Frog.ID	proportion growth 1	anti-Bd Class (80%)	Taxnonomy	DirTax_Phylum	DirTax_Class	DirTax_Order	DirTax_Family	DirTax_Genus	DirTax_Species	TotalIso	Inhibitory	NonInhibitory	InhibitoryRatio"
"18	H	Mada.3388	Mada.2442	Mantidactylus  melanopleura	1.082593037	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria	NA		3	11	3 . 11"
"18	H	Mada.3169	Mada.2442	Gephryomantis asper	0.207654723	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria	NA		3	11	3 . 11"
"18	H	Mada.3590	Mada.2442	Mantidactylus  betsileanus	1.074960585	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria	NA		3	11	3 . 11"
"18	H	Mada.3158	Mada.2442	Boophis  guibei	0.203416149	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria	NA		3	11	3 . 11"
"18	H	Mada.3454	Mada.2442	Boophis  pyrrhus	0.851020408	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria	NA		3	11	3 . 11"
"18	H	Mada.3793	Mada.2442	Mantidactylus  lugubris	0.182276657	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria	NA		3	11	3 . 11"
"18	H	Mada.2224	Mada.2442	Boophis  idea	0.218052257	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria	NA		3	11	3 . 11"
"18	H	Mada.1861	Mada.2442	Guibemantisliber	0.222353932	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria	NA		3	11	3 . 11"
"18	H	Mada.1958	Mada.2442	Blommersiablommersae	0.12970646	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria	NA		3	11	3 . 11"
"18	H	Mada.1541	Mada.2442	Guibemantis timidis	0.237552677	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Micrococcaceae;g__Kocuria;s__	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Kocuria	NA		3	11	3 . 11"
