"Cluster	Record	Isolate.ID	Id.Match	Frog.ID	proportion growth 1	anti-Bd Class (80%)	Taxnonomy	DirTax_Phylum	DirTax_Class	DirTax_Order	DirTax_Family	DirTax_Genus	DirTax_Species	TotalIso	Inhibitory	NonInhibitory	InhibitoryRatio"
"405	H	Mada.2170	Mada.2709	Plethodonthyla mihanika	0.158877014	Inhibitory	NA	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	NA		1	2	1 . 2"
"405	H	Mada.1787	Mada.2709	Gephryomantis sculpturatus	1.00246436	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium;s__	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	NA		1	2	1 . 2"
"405	H	Mada.2251	Mada.2709	Boophis  pyrrhus	0.226603325	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Mycobacteriaceae;g__Mycobacterium;s__	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	NA		1	2	1 . 2"
"15	H	Mada.2885	Mada.3666	Boophis  roseipalmatus	1.047020598	NonInhibitory	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Chryseobacterium;s__	Bacteroidetes	Flavobacteriia	Flavobacteriales	[Weeksellaceae]	Chryseobacterium	NA		2	2	2 . 2"
"15	H	Mada.208	Mada.3666	Mantidactylus  pauliani	0.766092661	NonInhibitory	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Chryseobacterium;s__	Bacteroidetes	Flavobacteriia	Flavobacteriales	[Weeksellaceae]	Chryseobacterium	NA		2	2	2 . 2"
"15	H	Mada.405	Mada.3666	Gephryomantis silvanus	0.11247388	Inhibitory	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Chryseobacterium;s__	Bacteroidetes	Flavobacteriia	Flavobacteriales	[Weeksellaceae]	Chryseobacterium	NA		2	2	2 . 2"
"15	H	Mada.406	Mada.3666	Gephryomantis silvanus	-9.08513e-4	Inhibitory	k__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__[Weeksellaceae];g__Chryseobacterium;s__	Bacteroidetes	Flavobacteriia	Flavobacteriales	[Weeksellaceae]	Chryseobacterium	NA		2	2	2 . 2"
"761	S	Mada.3853	*	Ptychadena mascareniensis	1.019932757	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium;s__chocolatum	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		6	4	6 . 4"
"761	H	Mada.2240	Mada.3853	Boophis  pyrrhus	0.982558534	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		6	4	6 . 4"
"761	H	Mada.2259	Mada.3853	NA	0.173260943	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		6	4	6 . 4"
"761	H	Mada.1976	Mada.3853	Mantidactylus  melanopleura	0.20869077	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		6	4	6 . 4"
"761	H	Mada.1979	Mada.3853	NABlank	0.166952616	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		6	4	6 . 4"
"761	H	Mada.2109	Mada.3853	Boophis  pyrrhus	0.166374222	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		6	4	6 . 4"
"761	H	Mada.2163	Mada.3853	Boophis  quasibohemi	0.078959962	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		6	4	6 . 4"
"761	H	Mada.2171	Mada.3853	Plethodonthyla mihanika	0.120912426	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	chocolatum		6	4	6 . 4"
"761	H	Mada.1942	Mada.3853	Mantidactylus  aergenteus	0.14605615	Inhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	NA		6	4	6 . 4"
"761	H	Mada.1961	Mada.3853	Blommersiablommersae	0.211872602	NonInhibitory	k__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Actinomycetales;f__Microbacteriaceae;g__Microbacterium	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	NA		6	4	6 . 4"
"1066	S	Mada.1905	*	Mantella cowani	0.93924718	NonInhibitory	k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA		1	1	1 . 1"
"1066	H	Mada.62	Mada.1905	Mantidactylus  betsileanus	0.113986014	Inhibitory	NA	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	NA		1	1	1 . 1"
